"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"Significance T air (July), full dataset Holocene period (WA-PLS)"	"Significance T air (July), full dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (July), full dataset Holocene period (MAT)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance T air (annual mean), full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), full dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (annual mean), full dataset Holocene period (MAT)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance Precip annual total, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total, full dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset (WA-PLS)"	"Significance Precip annual total, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (MAT)"	"Significance T air (July), July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), July temperature-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset (WA-PLS)"
"SINKHOLE"	"Neotoma"	2308	2391	"Sinkhole Pond"	-70.35	43.966667	"Eastern North America"	0.458	0.092	0.137	0.001	0.732	0.737	0.735	0.006	0.217	0.001	0.489	0.692	0.051	0.009	0.046	0.033	0.039	0.04	0.099	0.098	0.161	0.137	0.087	0.064	0.001	0.024	0.002	0.01	0.007	0.194	0.001	0.221	0.001	0.011	0.005	0.023	0.005	0.38	0.127	0.045	0.001	0.751	0.004	0.092	0.001	0.026	0.006	0.012	0.009	0.022	0.011
"SIOUX"	"Neotoma"	2309	2393	"Sioux Pond"	-91.566667	49.933333	"Eastern North America"	0.189	0.125	0.26	0.109	0.536	0.629	0.408	0.251	0.046	0.022	0.291	0.563	0.097	0.092	0.137	0.131	0.081	0.055	0.27	0.398	0.486	0.108	0.043	0.1	0.043	0.359	0.293	0.387	0.368	0.088	0.067	0.111	0.064	0.308	0.217	0.419	0.363	0.296	0.224	0.165	0.131	0.451	0.288	0.127	0.025	0.123	0.093	0.108	0.101	0.119	0.098
"SJ89"	"Neotoma"	2311	2395	"San Jose Chulchaca"	-90.133333	20.866667	"Eastern North America"	0.429	0.39	0.492	0.493	0.77	0.831	0.429	0.409	0.419	0.407	0.595	0.78	0.362	0.371	0.299	0.336	0.336	0.366	0.675	0.767	0.837	0.333	0.311	0.465	0.509	0.368	0.395	0.461	0.46	0.34	0.339	0.391	0.4	0.741	0.746	0.831	0.813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SJ92"	"Neotoma"	2312	2396	"Cenote San Jose Chulchaca"	-90.133333	20.866667	"Eastern North America"	0.556	0.563	0.618	0.619	0.735	0.764	0.886	0.876	0.952	0.948	0.613	0.611	0.945	0.953	0.976	0.974	0.977	0.978	0.715	0.692	0.641	0.999	1	0.996	0.997	0.76	0.791	0.778	0.791	0.964	0.945	0.98	0.979	0.754	0.778	0.817	0.802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SMOOTLK"	"Neotoma"	2494	2578	"Smoot Lake Bog"	-82.445833	40.205556	"Eastern North America"	0.348	0.039	0.857	0.063	0.292	0.304	0.258	0.019	0.72	0.035	0.193	0.756	0.496	0.626	0.343	0.137	0.406	0.089	0.117	0.435	0.706	0.32	0.072	0.138	0.251	0.44	0.446	0.461	0.347	0.157	0.045	0.504	0.085	0.451	0.594	0.717	0.103	0.389	0.076	0.409	0.079	0.338	0.014	0.719	0.045	0.434	0.705	0.967	0.563	0.898	0.643
"SPIRIT"	"Neotoma"	2502	2586	"Spirit Lake"	-86.958333	46.47	"Eastern North America"	0.455	0.597	0.002	0.038	0.64	0.04	0.687	0.7	0.001	0.061	0.173	0.043	0.041	0.019	0.031	0.008	0.03	0.01	0.001	0.001	0.001	0.348	0.303	0.004	0.028	0.001	0.002	0.001	0.003	0.088	0.049	0.002	0.003	0.002	0.002	0.001	0.001	0.59	0.751	0.041	0.035	0.564	0.416	0.059	0.082	0.052	0.038	0.024	0.015	0.032	0.023
"SPRINGLK"	"Neotoma"	2507	2591	"Spring Lake"	-76.35	41.673889	"Eastern North America"	0.337	0.195	0.209	0.143	0.057	0.014	0.166	0.087	0.138	0.062	0.01	0.074	0.222	0.253	0.282	0.407	0.328	0.59	0.001	0.001	0.001	0.17	0.113	0.031	0.242	0.004	0.025	0.001	0.087	0.001	0.001	0.001	0.003	0.022	0.071	0.015	0.091	0.208	0.069	0.039	0.059	0.096	0.014	0.025	0.018	0.092	0.147	0.082	0.119	0.109	0.126
"SPRUCE"	"Neotoma"	2508	2593	"Spruce Pond"	-74.1833	41.23687	"Eastern North America"	0.496	0.045	0.38	0.019	0.008	0.001	0.253	0.027	0.396	0.04	0.005	0.004	0.142	0.157	0.145	0.087	0.219	0.24	0.168	0.017	0.076	0.088	0.366	0.149	0.226	0.016	0.056	0.032	0.128	0.001	0.01	0.023	0.038	0.021	0.17	0.202	0.44	0.406	0.037	0.409	0.022	0.128	0.008	0.362	0.04	0.044	0.036	0.061	0.02	0.128	0.18
"STAGESPD"	"Neotoma"	2512	2598	"Stages Pond"	-82.9375	39.668056	"Eastern North America"	0.729	0.744	0.995	0.997	0.889	0.409	0.744	0.739	0.891	0.894	0.145	0.749	0.128	0.135	0.263	0.263	0.233	0.232	0.002	0.001	0.001	0.915	0.905	0.95	0.962	0.002	0.002	0.001	0.001	0.588	0.594	0.836	0.821	0.001	0.004	0.001	0.003	0.415	0.416	0.997	0.989	0.088	0.092	0.906	0.9	0.023	0.024	0.161	0.176	0.328	0.346
"STJOHN"	"Neotoma"	2516	2603	"Saint John Island Pond"	-58.916667	53.95	"Eastern North America"	0.513	0.535	0.975	0.975	0.786	0.454	0.791	0.811	0.335	0.341	0.766	0.29	0.486	0.477	0.93	0.931	0.221	0.225	0.863	0.728	0.651	0.47	0.482	0.923	0.926	0.551	0.544	0.966	0.963	0.78	0.758	0.812	0.827	0.554	0.555	0.726	0.737	0.565	0.556	0.987	0.984	0.826	0.829	0.402	0.398	0.491	0.474	0.916	0.9	0.266	0.314
"STOTZEL"	"Neotoma"	2520	2609	"Stotzel-Leis Site"	-84.689444	40.216667	"Eastern North America"	0.277	0.001	0.883	0.001	0.332	0.031	0.299	0.001	0.568	0.001	0.205	0.101	0.103	0.394	0.383	0.317	0.208	0.305	0.01	0.001	0.013	0.128	0.001	0.755	0.001	0.004	0.143	0.095	0.027	0.023	0.001	0.538	0.001	0.006	0.119	0.206	0.022	0.159	0.001	0.88	0.001	0.028	0.001	0.656	0.001	0.002	0.033	0.031	0.015	0.108	0.017
"SUGRLOAF"	"Neotoma"	2521	2610	"Sugarloaf Pond"	-52.666667	47.616667	"Eastern North America"	0.001	0.001	0.385	0.405	0.001	0.091	0.323	0.336	0.005	0.003	0.001	0.983	0.002	0.004	0.629	0.627	0.004	0.003	0.001	0.065	0.897	0.002	0.002	0.044	0.056	0.012	0.009	0.427	0.437	0.171	0.154	0.3	0.298	0.013	0.018	0.112	0.081	0.001	0.001	0.623	0.633	0.247	0.256	0.002	0.002	0.002	0.001	0.566	0.54	0.001	0.001
"SUTHRLND"	"Neotoma"	2527	2617	"Sutherland Pond"	-74.037778	41.391389	"Eastern North America"	0.791	0.02	0.548	0.017	0.004	0.004	0.892	0.057	0.673	0.047	0.002	0.013	0.298	0.342	0.313	0.191	0.238	0.328	0.072	0.005	0.012	0.006	0.137	0.002	0.017	0.007	0.066	0.001	0.083	0.001	0.004	0.001	0.001	0.019	0.15	0.002	0.251	0.729	0.036	0.39	0.013	0.722	0.011	0.543	0.025	0.206	0.18	0.202	0.072	0.178	0.252
"SWANLAKE"	"Neotoma"	2530	2620	"Swan Lake"	-102.499255	41.72106	"Eastern North America"	0.482	0.465	0.474	0.471	0.294	0.643	0.217	0.186	0.24	0.228	0.644	0.489	0.858	0.855	0.728	0.751	0.743	0.748	0.09	0.135	0.014	0.5	0.512	0.565	0.585	0.144	0.161	0.203	0.2	0.026	0.022	0.076	0.061	0.071	0.09	0.294	0.303	0.565	0.56	0.568	0.579	0.206	0.193	0.554	0.559	0.164	0.183	0.174	0.194	0.323	0.311
"SZABOPND"	"Neotoma"	2533	2623	"Szabo Pond"	-74.483333	40.4	"Eastern North America"	0.005	0.003	0.001	0.002	0.013	0.013	0.002	0.01	0.001	0.002	0.036	0.014	0.324	0.269	0.039	0.12	0.015	0.044	0.094	0.084	0.039	0.028	0.029	0.008	0.021	0.17	0.151	0.02	0.087	0.004	0.012	0.001	0.001	0.225	0.244	0.01	0.027	0.003	0.003	0.002	0.001	0.002	0.003	0.002	0.002	0.438	0.431	0.09	0.077	0.035	0.056
"TAMARACK"	"Neotoma"	2534	2624	"Tamarack Creek"	-91.45	44.15	"Eastern North America"	0.578	0.566	0.76	0.742	0.292	0.367	0.915	0.922	0.868	0.864	0.017	0.248	0.805	0.811	0.963	0.962	0.785	0.795	0.081	0.135	0.531	0.614	0.619	0.606	0.596	0.865	0.843	0.653	0.659	0.506	0.516	0.371	0.359	0.722	0.659	0.391	0.402	0.703	0.706	0.85	0.837	0.864	0.859	0.887	0.892	0.814	0.806	0.971	0.971	0.845	0.842
"TANNERSV"	"Neotoma"	2536	2626	"Tannersville Bog"	-75.263845	41.038875	"Eastern North America"	0.796	0.068	0.46	0.019	0.048	0.017	0.592	0.016	0.43	0.017	0.013	0.105	0.071	0.147	0.072	0.064	0.064	0.073	0.043	0.003	0.085	0.073	0.064	0.178	0.092	0.002	0.041	0.005	0.013	0.001	0.001	0.026	0.001	0.002	0.082	0.058	0.054	0.823	0.063	0.544	0.04	0.461	0.009	0.432	0.019	0.028	0.055	0.025	0.014	0.026	0.025
"TAUPAW"	"Neotoma"	2539	2629	"Taupawshas Bog"	-70.058333	41.275	"Eastern North America"	0.179	0.082	0.064	0.047	0.026	0.001	0.115	0.061	0.095	0.078	0.006	0.003	0.03	0.048	0.036	0.021	0.035	0.06	0.013	0.01	0.015	0.285	0.313	0.236	0.305	0.025	0.071	0.067	0.126	0.039	0.043	0.098	0.091	0.053	0.148	0.063	0.132	0.141	0.074	0.093	0.072	0.077	0.052	0.085	0.068	0.073	0.117	0.034	0.061	0.04	0.07
"TAYCRK2A"	"Neotoma"	2540	2630	"Taylor Creek Site 2"	-80.643889	25.205556	"Eastern North America"	0.692	0.686	0.916	0.928	0.903	0.961	0.794	0.83	0.784	0.777	0.901	0.954	0.117	0.126	0.58	0.567	0.575	0.57	0.857	0.76	0.58	0.817	0.812	0.629	0.64	0.046	0.047	0.243	0.211	0.888	0.875	0.87	0.909	0.509	0.526	0.581	0.586	0.676	0.689	0.89	0.884	0.889	0.892	0.357	0.343	0.186	0.176	0.547	0.533	0.117	0.122
"TAYLSL15"	"Neotoma"	2542	2632	"Taylor Slough Site 15"	-80.687222	25.201944	"Eastern North America"	0.236	0.241	0.412	0.389	0.193	0.949	0.149	0.147	0.139	0.17	0.144	0.855	0.071	0.07	0.187	0.169	0.129	0.118	0.016	0.11	0.144	0.771	0.758	0.685	0.694	0.149	0.141	0.188	0.203	0.003	0.008	0.019	0.023	0.121	0.095	0.104	0.123	0.514	0.478	0.486	0.519	0.056	0.053	0.44	0.465	0.06	0.064	0.053	0.063	0.549	0.515
"TAYLSL7"	"Neotoma"	2543	2633	"Taylor Slough Site 7"	-80.646389	25.287222	"Eastern North America"	0.414	0.425	0.42	0.397	0.102	0.849	0.672	0.677	0.759	0.737	0.097	0.742	0.786	0.777	0.487	0.47	0.841	0.833	0.109	0.836	0.83	0.815	0.822	0.118	0.136	0.01	0.007	0.003	0.002	0.075	0.082	0.313	0.277	0.013	0.021	0.215	0.19	0.501	0.518	0.373	0.339	0.589	0.614	0.051	0.049	0.001	0.001	0.001	0.001	0.001	0.001
"TITICUT1"	"Neotoma"	2554	2645	"Titicut Swamp"	-71.033333	41.95	"Eastern North America"	0.006	0.007	0.005	0.009	0.001	0.001	0.005	0.005	0.003	0.004	0.001	0.001	0.464	0.43	0.486	0.379	0.415	0.31	0.01	0.01	0.008	0.003	0.001	0.001	0.001	0.18	0.134	0.105	0.063	0.001	0.001	0.001	0.001	0.217	0.188	0.117	0.059	0.001	0.003	0.004	0.002	0.001	0.001	0.003	0.001	0.438	0.388	0.151	0.112	0.131	0.083
"TONAWA"	"Neotoma"	2560	2651	"Tonawa Lake"	-77.175	44.85	"Eastern North America"	0.559	0.537	0.018	0.001	0.424	0.002	0.544	0.224	0.048	0.006	0.386	0.001	0.128	0.044	0.097	0.064	0.108	0.077	0.002	0.001	0.003	0.744	0.743	0.203	0.393	0.004	0.007	0.005	0.006	0.071	0.035	0.08	0.089	0.005	0.047	0.045	0.027	0.608	0.534	0.005	0.003	0.364	0.107	0.005	0.005	0.019	0.037	0.076	0.029	0.017	0.005
"TOR_neotoma"	"Neotoma"	2562	2654	"Lac a la Tortue"	-73.316944	45.545833	"Eastern North America"	0.438	0.196	0.004	0.002	0.027	0.014	0.116	0.025	0.001	0.001	0.028	0.039	0.013	0.013	0.029	0.024	0.047	0.056	0.047	0.043	0.083	0.327	0.093	0.001	0.001	0.001	0.001	0.001	0.001	0.005	0.001	0.002	0.001	0.001	0.001	0.003	0.006	0.475	0.266	0.002	0.001	0.154	0.028	0.003	0.001	0.002	0.001	0.006	0.003	0.01	0.009
"TULANE"	"Neotoma"	2570	2663	"Lake Tulane"	-81.503395	27.58613	"Eastern North America"	0.377	0.296	0.692	0.421	0.439	0.238	0.038	0.037	0.524	0.096	0.563	0.316	0.02	0.205	0.022	0.205	0.212	0.233	0.519	0.276	0.357	0.039	0.033	0.459	0.152	0.086	0.049	0.169	0.031	0.001	0.001	0.029	0.052	0.055	0.105	0.766	0.149	0.581	0.449	0.284	0.523	0.75	0.393	0.17	0.354	0.137	0.115	0.084	0.127	0.054	0.131
"TUNTURI"	"Neotoma"	2576	2669	"Tunturi Lake"	-67.5	55.016667	"Eastern North America"	0.784	0.908	0.84	0.862	0.24	0.612	0.669	0.944	0.848	0.849	0.58	0.21	0.501	0.752	0.504	0.739	0.575	0.701	0.024	0.05	0.012	0.387	0.398	0.169	0.165	0.236	0.05	0.139	0.056	0.139	0.198	0.457	0.556	0.148	0.072	0.55	0.226	0.914	0.947	0.827	0.832	0.581	0.608	0.691	0.726	0.495	0.175	0.493	0.206	0.485	0.209
"TUR"	"Neotoma"	2577	2671	"Lac Turcotte"	-65.762778	49.157778	"Eastern North America"	0.564	0.576	0.752	0.899	0.003	0.016	0.1	0.213	0.585	0.081	0.004	0.147	0.036	0.001	0.07	0.001	0.278	0.001	0.031	0.042	0.738	0.158	0.321	0.189	0.053	0.014	0.001	0.022	0.001	0.002	0.158	0.154	0.022	0.01	0.015	0.463	0.035	0.515	0.767	0.766	0.821	0.092	0.278	0.499	0.035	0.042	0.001	0.049	0.002	0.218	0.001
"TUSKEGEE"	"Neotoma"	2578	2673	"Tuskegee Pond"	-84.210556	35.584722	"Eastern North America"	0.559	0.589	0.409	0.429	0.382	0.909	0.888	0.871	0.903	0.887	0.399	0.79	0.759	0.762	0.507	0.5	0.782	0.787	0.302	0.783	0.904	0.859	0.866	0.17	0.184	0.051	0.051	0.047	0.035	0.071	0.088	0.115	0.124	0.322	0.331	0.635	0.665	0.455	0.451	0.522	0.522	0.955	0.959	0.999	1	0.829	0.835	0.936	0.934	0.935	0.931
"UPGRAVEN"	"Neotoma"	2792	2888	"Upper Graven Lake"	-95.306944	46.184444	"Eastern North America"	0.133	0.021	0.012	0.038	0.012	0.001	0.072	0.008	0.003	0.009	0.02	0.002	0.052	0.492	0.023	0.043	0.025	0.028	0.025	0.028	0.023	0.128	0.007	0.017	0.01	0.052	0.489	0.047	0.034	0.014	0.001	0.013	0.007	0.008	0.345	0.019	0.038	0.177	0.043	0.001	0.043	0.101	0.001	0.001	0.003	0.008	0.275	0.002	0.017	0.009	0.003
"UPMALLOT"	"Neotoma"	2793	2890	"Upper Mallot Lake"	-84.258333	47.308333	"Eastern North America"	0.002	0.005	0.002	0.004	0.004	0.001	0.019	0.044	0.004	0.003	0.082	0.001	0.008	0.009	0.053	0.034	0.006	0.009	0.001	0.001	0.001	0.002	0.003	0.293	0.291	0.001	0.001	0.122	0.098	0.186	0.288	0.475	0.489	0.001	0.001	0.014	0.014	0.014	0.018	0.015	0.015	0.075	0.12	0.008	0.004	0.015	0.011	0.033	0.02	0.002	0.004
"UPSOBRPD"	"Neotoma"	2795	2892	"Upper South Branch Pond"	-68.893285	46.090115	"Eastern North America"	0.113	0.108	0.111	0.092	0.002	0.011	0.023	0.012	0.02	0.015	0.05	0.115	0.316	0.329	0.106	0.095	0.004	0.001	0.004	0.041	0.015	0.001	0.002	0.003	0.004	0.102	0.115	0.001	0.002	0.002	0.002	0.002	0.003	0.045	0.053	0.001	0.001	0.019	0.016	0.002	0.002	0.02	0.014	0.003	0.001	0.122	0.131	0.131	0.108	0.095	0.104
"VALHALLA"	"Neotoma"	2805	2902	"Valhalla Hollow"	-74.370833	44.308611	"Eastern North America"	0.666	0.668	0.649	0.653	0.528	0.847	0.611	0.595	0.625	0.62	0.566	0.284	0.946	0.95	0.9	0.9	0.917	0.902	0.529	0.793	0.195	0.29	0.29	0.156	0.18	0.362	0.343	0.06	0.046	0.002	0.002	0.006	0.017	0.481	0.502	0.091	0.091	0.679	0.692	0.741	0.725	0.654	0.655	0.659	0.655	0.991	0.995	0.974	0.966	0.968	0.971
"VANNOSTR"	"Neotoma"	2806	2903	"Van Nostrand Lake"	-79.38	44	"Eastern North America"	0.25	0.136	0.001	0.001	0.001	0.001	0.06	0.026	0.001	0.001	0.001	0.001	0.02	0.017	0.024	0.024	0.044	0.035	0.002	0.002	0.002	0.078	0.029	0.001	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.003	0.01	0.213	0.114	0.001	0.001	0.036	0.004	0.001	0.001	0.003	0.007	0.008	0.006	0.015	0.008
"VOLOBOG"	"Neotoma"	2822	2919	"Volo Bog"	-88.18475	42.35154	"Eastern North America"	0.558	0.001	0.432	0.001	0.083	0.31	0.236	0.001	0.169	0.001	0.164	0.578	0.735	0.506	0.604	0.585	0.499	0.479	0.278	0.831	0.835	0.296	0.002	0.352	0.002	0.598	0.437	0.725	0.471	0.151	0.001	0.218	0.001	0.607	0.704	0.606	0.718	0.941	0.001	0.841	0.001	0.252	0.001	0.173	0.001	0.439	0.813	0.433	0.551	0.396	0.425
"WCA2AF1"	"Neotoma"	2846	2943	"Water Conservation Area 2A, Site 2 (Site F1)"	-80.370556	26.359722	"Eastern North America"	0.169	0.16	0.209	0.208	0.008	0.099	0.041	0.029	0.061	0.06	0.006	0.172	0.545	0.559	0.479	0.43	0.444	0.419	0.016	0.194	0.191	0.243	0.24	0.768	0.784	0.007	0.006	0.008	0.011	0.031	0.027	0.01	0.008	0.039	0.04	0.02	0.021	0.723	0.761	0.961	0.947	0.117	0.108	0.796	0.822	0.003	0.003	0.005	0.007	0.007	0.004
"WCA2AU3"	"Neotoma"	2847	2944	"Water Conservation Area 2A, Site 3 (Site U3)"	-80.411389	26.2875	"Eastern North America"	0.286	0.286	0.553	0.556	0.133	0.379	0.09	0.091	0.146	0.158	0.098	0.443	0.035	0.036	0.121	0.137	0.1	0.133	0.012	0.028	0.062	0.178	0.165	0.901	0.908	0.052	0.053	0.448	0.422	0.211	0.201	0.932	0.928	0.11	0.114	0.769	0.775	0.138	0.146	0.151	0.154	0.063	0.074	0.125	0.137	0.089	0.104	0.068	0.052	0.102	0.11
"WCA3A15"	"Neotoma"	2848	2945	"Water Conservation Area 3A, Site 4 (CA315 (AAS))"	-80.6688	25.974	"Eastern North America"	0.295	0.296	0.852	0.835	0.312	0.845	0.008	0.005	0.093	0.08	0.347	0.882	0.014	0.011	0.061	0.049	0.161	0.128	0.26	0.787	0.7	0.285	0.297	0.16	0.156	0.195	0.17	0.085	0.071	0.247	0.244	0.442	0.447	0.247	0.271	0.471	0.485	0.643	0.631	0.601	0.611	0.036	0.042	0.211	0.224	0.085	0.097	0.049	0.053	0.15	0.176
"WENTZEL"	"Neotoma"	2851	2948	"Wentzel's Pond"	-94.95	46.95	"Eastern North America"	0.218	0.21	0.287	0.304	0.699	0.058	0.426	0.423	0.205	0.223	0.395	0.024	0.17	0.17	0.304	0.295	0.113	0.108	0.579	0.081	0.003	0.125	0.111	0.184	0.161	0.121	0.125	0.101	0.12	0.332	0.292	0.499	0.533	0.143	0.155	0.215	0.224	0.5	0.468	0.62	0.643	0.423	0.429	0.45	0.426	0.178	0.187	0.235	0.252	0.218	0.22
"WESLEM1"	"Neotoma"	2852	2949	"Weslemkoon Lake"	-77.433333	45.033333	"Eastern North America"	0.183	0.166	0.37	0.383	0.01	0.009	0.067	0.07	0.501	0.525	0.004	0.008	0.122	0.113	0.49	0.505	0.714	0.702	0.753	0.435	0.13	0.889	0.879	0.956	0.95	0.451	0.473	0.516	0.503	0.344	0.354	0.428	0.41	0.685	0.669	0.955	0.942	0.229	0.239	0.564	0.505	0.152	0.114	0.342	0.339	0.435	0.417	0.941	0.958	0.735	0.713
"WHITGLCH"	"Neotoma"	2854	2951	"Whitney's Gulch"	-57.3	51.516667	"Eastern North America"	0.014	0.01	0.115	0.09	0.001	0.002	0.952	0.808	0.103	0.036	0.743	0.198	0.139	0.216	0.868	0.829	0.015	0.012	0.38	0.449	0.36	0.128	0.113	0.027	0.011	0.886	0.846	0.084	0.134	0.63	0.457	0.276	0.573	0.201	0.127	0.122	0.148	0.088	0.046	0.662	0.482	0.995	0.859	0.086	0.292	0.059	0.061	0.341	0.311	0.002	0.002
"WILWRDPD"	"Neotoma"	2859	2956	"Willow River Pond"	-92.78081	46.324305	"Eastern North America"	0.086	0.091	0.006	0.007	0.127	0.198	0.038	0.033	0.001	0.001	0.154	0.298	0.002	0.001	0.001	0.001	0.001	0.001	0.315	0.421	0.533	0.247	0.243	0.007	0.007	0.001	0.001	0.001	0.001	0.161	0.156	0.098	0.097	0.001	0.001	0.001	0.001	0.009	0.003	0.026	0.021	0.172	0.171	0.064	0.052	0.012	0.02	0.142	0.145	0.014	0.016
"WINNE"	"Neotoma"	2862	2959	"Winneconnet Pond"	-71.116667	41.966667	"Eastern North America"	0.282	0.03	0.198	0.009	0.001	0.06	0.143	0.004	0.114	0.003	0.001	0.158	0.322	0.339	0.34	0.413	0.385	0.452	0.001	0.001	0.169	0.123	0.002	0.004	0.001	0.036	0.051	0.01	0.029	0.001	0.001	0.001	0.001	0.007	0.068	0.005	0.008	0.652	0.125	0.381	0.071	0.041	0.001	0.012	0.001	0.054	0.259	0.079	0.212	0.061	0.075
"WNTRGULF"	"Neotoma"	2863	2960	"Winter Gulf Site"	-78.933889	42.561111	"Eastern North America"	NA	0.266	NA	0.273	NA	NA	NA	0.226	NA	0.269	NA	NA	NA	0.993	NA	0.989	NA	0.992	NA	NA	NA	NA	0.199	NA	0.337	NA	0.343	NA	0.615	NA	0.314	NA	0.06	NA	0.178	NA	0.164	NA	0.367	NA	0.85	NA	0.378	NA	0.799	NA	0.457	NA	0.964	NA	0.982
"WINTERGR"	"Neotoma"	2864	2961	"Wintergreen Lake"	-85.383333	42.4	"Eastern North America"	0.289	0.002	0.666	0.144	0.802	0.707	0.191	0.001	0.719	0.057	0.74	0.58	0.049	0.02	0.39	0.521	0.499	0.468	0.521	0.527	0.501	0.131	0.057	0.513	0.295	0.009	0.033	0.357	0.493	0.005	0.001	0.589	0.022	0.006	0.067	0.571	0.236	0.145	0.001	0.492	0.042	0.047	0.001	0.468	0.032	0.102	0.075	0.526	0.512	0.653	0.535
"WOLFCRK"	"Neotoma"	2932	3029	"Wolf Creek"	-94.116667	46.116667	"Eastern North America"	0.013	0.094	0.021	0.068	0.717	0.471	0.003	0.044	0.009	0.121	0.199	0.02	0.58	0.269	0.353	0.181	0.366	0.375	0.976	0.641	0.114	0.016	0.043	0.029	0.048	0.884	0.594	0.22	0.23	0.002	0.031	0.001	0.054	0.7	0.647	0.175	0.432	0.028	0.063	0.048	0.102	0.009	0.007	0.026	0.005	0.643	0.502	0.216	0.338	0.36	0.197
"WOLSFELD"	"Neotoma"	2933	3031	"Wolsfeld Lake"	-93.57276	45.005015	"Eastern North America"	0.409	0.001	0.027	0.001	0.125	0.056	0.093	0.001	0.006	0.001	0.062	0.062	0.001	0.137	0.001	0.001	0.001	0.001	0.051	0.072	0.09	0.134	0.001	0.011	0.001	0.001	0.121	0.001	0.001	0.062	0.001	0.004	0.001	0.001	0.104	0.001	0.001	0.066	0.006	0.292	0.003	0.061	0.001	0.003	0.001	0.001	0.118	0.017	0.008	0.001	0.001
