"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"modern training sites [#], full dataset"	"minimum modern T air (July) [°C], full dataset"	"maximum modern T air (July) [°C], full dataset"	"minimum modern T air (annual mean) [°C], full dataset"	"maximum modern T air (annual mean) [°C], full dataset"	"minimum modern Precip annual total [mm/a], full dataset"	"maximum modern Precip annual total [mm/a], full dataset"	"WA-PLS component T air (July), full dataset"	"WA-PLS r2 observed vs. predicted T air (July), full dataset"	"WA-PLS RMSEP T air (July), full dataset"	"MAT r2 observed vs. predicted T air (July), full dataset"	"MAT RMSEP T air (July), full dataset"	"WA-PLS component T air (annual mean), full dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), full dataset"	"WA-PLS RMSEP T air (annual mean), full dataset"	"MAT r2 observed vs. predicted T air (annual mean), full dataset"	"MAT RMSEP T air (annual mean), full dataset"	"WA-PLS component Precip annual total, full dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, full dataset"	"WA-PLS RMSEP Precip annual total, full dataset"	"MAT r2 observed vs. predicted Precip annual total, full dataset"	"MAT RMSEP Precip annual total, full dataset"	"minimum modern T air (July) [°C], after tailoring"	"maximum modern T air (July) [°C], after tailoring"	"minimum modern T air (annual mean) [°C], after tailoring"	"maximum modern T air (annual mean) [°C], after tailoring"	"minimum modern Precip annual total [mm/a], after tailoring"	"maximum modern Precip annual total [mm/a], after tailoring"	"modern training sites [#], July temperature-tailored dataset"	"minimum modern T air (July) [°C], July temperature-tailored dataset"	"maximum modern T air (July) [°C], July temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], July temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], July temperature-tailored dataset"	"WA-PLS component T air (July), July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), July temperature-tailored dataset"	"WA-PLS RMSEP T air (July), July temperature-tailored dataset"	"WA-PLS component Precip annual total, July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, July temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, July temperature-tailored dataset"	"modern training sites [#], annual mean temperature-tailored dataset"	"minimum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"maximum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"WA-PLS component T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS component Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual mean temperature-tailored dataset"	"modern training sites [#], annual precipitation-tailored dataset"	"minimum modern T air (July) [°C], annual precipitation-tailored dataset"	"maximum modern T air (July) [°C], annual precipitation-tailored dataset"	"minimum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"maximum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"minimum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"maximum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"WA-PLS component T air (July), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (July), annual precipitation-tailored dataset"	"WA-PLS component T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS component Precip annual total, annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual precipitation-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual precipitation-tailored dataset"
"YANGYUANCA"	"Cao et al."	52	100052	"Yangyuan-Caocun, Yangyuan County, Hebei Province"	114.4	40.1	"Asia"	2594	-2	29.5	-15.4	22.7	35	4360	2	0.66	3.51	0.77	2.93	2	0.78	3.51	0.84	3.02	2	0.85	255.24	0.91	199.81	18.7	23.3	2.3	6	67	462	898	18.7	23.3	35	3421	1	0.15	1.24	2	0.9	207.31	555	2.3	5.9	40	1437	1	0.12	0.89	2	0.84	96.46	1021	-2	27.6	-15.4	13.3	68	461	1	0.55	3.39	1	0.55	2.91	1	0.29	79.35
"YANGYUANXI"	"Cao et al."	53	100053	"Yangyuan-Xipu"	114.216667	40.116667	"Asia"	2588	-2	29.5	-15.4	22.7	35	4360	2	0.66	3.52	0.77	2.93	2	0.78	3.51	0.84	3.02	2	0.85	254.02	0.91	199.45	17.1	22.8	0.8	5.2	169	440	1059	17.1	22.7	35	3486	1	0.13	1.42	2	0.89	206.33	748	0.9	5.2	46	1437	1	0.14	1.09	2	0.81	101.73	867	-2	27.2	-15.4	13	170	440	1	0.57	3.19	1	0.53	2.78	1	0.21	63.18
"YANSHEN"	"Cao et al."	54	100054	"Yanshengang"	118.866667	39.866667	"Asia"	2625	-2	29.5	-15.4	22.4	35	4360	2	0.65	3.35	0.77	2.76	2	0.77	3.49	0.84	2.89	2	0.84	269.02	0.9	212.44	9.5	24.4	-2.5	8.8	161	862	1998	9.5	24.4	51	4360	2	0.47	2.74	2	0.84	251.4	1553	-2.5	8.8	35	4360	2	0.42	2.33	2	0.81	202.2	1674	-2	27.6	-15.4	14.6	162	858	1	0.56	3.37	2	0.49	3.14	2	0.7	100.59
"BEIDAWA"	"Cao et al."	55	100055	"Beidawan"	134.7	48.133333	"Asia"	1854	7.8	27.6	-16.5	19.1	107	3421	2	0.58	2.28	0.73	1.83	2	0.78	3.48	0.87	2.68	2	0.86	231.99	0.9	191.07	15.8	20.1	-6.6	4.8	494	851	961	15.8	20.1	197	3421	1	0.28	1.05	2	0.85	205.48	973	-6.5	4.8	107	2192	1	0.64	1.87	2	0.86	127.12	513	7.8	27.1	-9.8	13.4	496	851	2	0.53	1.96	2	0.61	2.27	2	0.56	66.87
"CHUANGY"	"Cao et al."	56	100056	"Chuangye"	134.466667	48.333333	"Asia"	1853	7.8	27.6	-16.5	18.9	107	3421	2	0.58	2.28	0.73	1.83	2	0.78	3.48	0.87	2.68	2	0.86	231.33	0.9	189.76	15.7	19.8	-3.9	4.3	503	957	873	15.8	19.8	197	3421	1	0.3	0.97	2	0.86	201.39	819	-3.8	4.3	107	2192	1	0.5	1.73	2	0.85	129.65	520	7.8	27.1	-9.8	13.7	504	928	2	0.51	1.96	2	0.58	2.35	2	0.46	76.4
"MINZHU"	"Cao et al."	57	100057	"Minzhuqiao"	133.866667	47.533333	"Asia"	1882	7.8	27.6	-16.5	19.1	107	3486	2	0.59	2.29	0.74	1.84	2	0.78	3.49	0.87	2.7	2	0.86	233.92	0.9	197.74	17.7	20.8	-0.7	4	589	845	651	17.8	20.7	197	3486	1	0.08	0.79	2	0.84	215.65	547	-0.7	4	107	2147	2	0.29	1.14	2	0.89	115.94	363	12	27.4	-9.8	14.6	590	841	1	0.48	1.88	2	0.51	2.09	1	0.32	55.63
"QINDEL"	"Cao et al."	58	100058	"Qindeli"	133.666667	47.883333	"Asia"	1890	7.8	27.6	-16.5	19.1	107	3486	2	0.59	2.28	0.74	1.82	2	0.78	3.47	0.87	2.67	2	0.86	233.35	0.9	197.4	16.8	19.8	-3.2	4.7	381	970	706	16.9	19.7	197	3486	1	0.33	0.75	2	0.86	206.01	806	-3.2	4.7	107	2192	2	0.49	1.6	2	0.86	134.22	811	7.8	27.6	-11.7	14.3	382	928	2	0.62	2.27	2	0.7	2.82	2	0.68	81.95
"TANGBE94"	"Cao et al."	59	100059	"Tangbei 94-A"	129.666667	48.35	"Asia"	1961	7.8	27.8	-16.5	19.1	107	3421	2	0.58	2.29	0.72	1.87	2	0.77	3.5	0.86	2.73	2	0.86	226.43	0.91	186.57	16.8	19.4	-2.7	3.7	522	881	626	16.8	19.3	165	3421	1	0.29	0.63	2	0.87	198.48	670	-2.7	3.7	107	2192	1	0.41	1.47	2	0.85	126.33	481	7.8	27.4	-9.8	14.6	523	866	2	0.52	1.94	2	0.6	2.31	2	0.47	65.96
"TUQIANG"	"Cao et al."	61	100061	"Tuqiang"	122.8	52.233333	"Asia"	1899	4	27.6	-16.5	13.7	35	1834	1	0.48	2.51	0.66	2.02	1	0.73	3.53	0.83	2.82	2	0.84	130.95	0.88	113.17	14.9	17.7	-7.3	-1	365	579	503	14.9	17.6	140	1650	1	0.06	0.81	2	0.86	118.66	439	-7.2	-1	121	1411	1	0.31	1.44	2	0.63	102.72	463	7.8	27.6	-13.7	13.7	366	578	2	0.74	2.21	2	0.78	2.89	1	0.36	47.67
"CHADIAN"	"Cao et al."	63	100063	"Chadianpo"	114.4	36.1	"Asia"	2671	-2	29.5	-15.4	25.1	35	4360	2	0.67	3.58	0.78	2.91	2	0.8	3.55	0.86	3.02	2	0.85	258.65	0.91	199.6	12.5	22.9	-0.6	9.7	282	885	1468	12.5	22.9	35	4360	1	0.18	2.39	2	0.87	218.92	1351	-0.6	9.7	35	4360	1	0.36	2.18	2	0.81	184.87	1440	-2	27.6	-15.4	20	284	864	1	0.61	3.45	2	0.52	3.35	2	0.68	93.13
"DENGJIAC"	"Cao et al."	64	100064	"Dengjiacun"	113.65	34.468933	"Asia"	2597	-2	29.5	-15.4	25.7	35	4360	2	0.68	3.64	0.79	2.94	2	0.81	3.58	0.87	3	2	0.85	258.08	0.91	199.03	12	23.4	1.1	11	289	1145	1474	12.1	23.3	35	4360	2	0.28	2.43	2	0.87	217.68	1129	1.2	11	35	4360	1	0.38	2	2	0.84	197.55	1499	-2	28.6	-15.4	20	290	1141	2	0.67	3.41	2	0.64	3.42	2	0.78	100.02
"GUANGRU1"	"Cao et al."	65	100065	"Guangrunpo 1"	114.533333	36.016667	"Asia"	2648	-2	29.5	-15.4	25.1	35	4360	2	0.68	3.56	0.79	2.88	2	0.8	3.55	0.86	2.99	2	0.85	258.6	0.91	198.73	12.6	20.9	-0.3	6.3	260	622	1117	12.6	20.8	40	4360	2	0.26	1.86	2	0.87	189.78	939	-0.3	6.2	40	1437	1	0.18	1.5	2	0.81	105.34	1036	-2	27.6	-15.4	13.7	261	622	1	0.66	3.29	2	0.6	3.06	1	0.44	77.02
"WANGJIAD"	"Cao et al."	66	100066	"Wangjiadian profile"	114.669167	36.161	"Asia"	2640	-2	29.5	-15.4	25.1	35	4360	2	0.68	3.54	0.79	2.89	2	0.8	3.54	0.86	3	2	0.85	258.77	0.91	198.98	14.9	24.3	1.5	8.9	-9	955	1497	15	24.3	35	3486	1	0.23	2.16	2	0.88	233.59	1033	1.5	8.9	35	4360	1	0.4	1.72	2	0.83	176.36	1881	-2	27.6	-15.4	20	35	950	1	0.58	3.52	2	0.53	3.31	2	0.77	103.76
"XISHAN"	"Cao et al."	67	100067	"Xishan"	113.53	34.911667	"Asia"	2643	-2	29.5	-15.4	25.7	35	4360	2	0.68	3.63	0.79	2.93	2	0.8	3.57	0.87	2.98	2	0.85	256.34	0.91	197.56	-11.3	31.3	-14.6	8.2	-472	870	2643	-2	29.5	35	4360	2	0.68	3.63	2	0.85	256.34	1723	-11.3	8.2	35	3192	2	0.46	2.86	2	0.78	148.02	1860	-2	27.6	-15.4	20	35	864	1	0.59	3.58	2	0.51	3.3	2	0.76	101.43
"DAJIUHUC1"	"Cao et al."	68	100068	"Dajiuhu Lake C1"	110.666667	31.75	"Asia"	2398	-2	29.5	-15.4	25.7	35	4360	2	0.72	3.75	0.81	3.11	2	0.82	3.54	0.87	3.06	2	0.85	260.82	0.91	202.02	15.4	25.6	5	18.2	1145	1742	1135	15.5	25.5	35	3486	2	0.35	2.13	2	0.89	254.26	905	5	17.9	35	4360	2	0.71	2.22	2	0.84	303.66	308	17.1	29.5	5	25.7	1165	1741	2	0.58	1.99	2	0.77	2.32	1	0.42	136.72
"JIANGLING"	"Cao et al."	69	100069	"Jiangling"	112.333333	30.133333	"Asia"	2191	-2	29.5	-15.4	25.7	35	4360	2	0.72	3.8	0.82	3.07	2	0.82	3.55	0.87	3.04	2	0.85	273.18	0.91	210.18	11.8	24.9	-0.9	12.8	330	1075	1205	11.9	24.9	35	4360	2	0.37	2.71	2	0.87	262.22	1221	-0.9	12.7	35	4360	2	0.52	2.39	2	0.84	213.05	1050	2.5	28.5	-9.5	20	331	1057	1	0.65	3.75	1	0.61	3.53	1	0.66	100.9
"LONGQUANLC2"	"Cao et al."	70	100070	"Longquan Lake LC2"	112.238	31.0814	"Asia"	2292	-2	29.5	-15.4	25.7	35	4360	2	0.71	3.78	0.81	3.08	2	0.82	3.56	0.87	3.06	2	0.85	268.72	0.91	206.39	10.6	24.8	-1.6	15	487	1647	1373	10.7	24.7	35	4360	2	0.47	2.85	2	0.86	258.13	1416	-1.6	14.9	35	4360	2	0.6	2.68	2	0.85	219.25	914	2.5	29.5	-9.5	25.7	488	1645	2	0.75	3.86	2	0.8	3.69	2	0.79	164.15
"MIANCHEM1"	"Cao et al."	71	100071	"Miancheng M1"	113.216667	30.183333	"Asia"	2136	-2	29.5	-15.4	25.7	35	4360	2	0.7	3.79	0.81	3.04	2	0.81	3.55	0.87	3	2	0.85	276.36	0.91	211.69	13.3	27.6	1.6	15.9	342	1407	1380	13.3	27.6	35	3486	2	0.43	2.77	2	0.87	271.39	1181	1.6	15.8	35	4360	2	0.68	2.4	2	0.86	244.12	1119	2.5	29.3	-9.5	25.1	342	1400	2	0.73	3.58	2	0.74	3.42	2	0.8	117.55
"TAIBAITN1"	"Cao et al."	72	100072	"Taibai Lake TN1"	115.807333	29.995667	"Asia"	2071	-2	29.5	-15.4	25.7	35	4360	2	0.71	3.61	0.81	2.96	2	0.81	3.47	0.87	2.97	2	0.84	285.42	0.9	219.86	21.4	25.1	8.7	14.4	718	1190	474	21.5	25	65	3136	1	0.22	0.91	2	0.91	250.13	250	8.8	14.4	35	4360	1	0.18	1.47	2	0.77	371.62	283	5.2	28.6	-4.8	20	719	1178	2	0.79	3.06	2	0.75	3.26	2	0.78	72.61
"ZHOULAO"	"Cao et al."	73	100073	"Zhoulao"	112.883333	29.816667	"Asia"	2140	-2	29.5	-15.4	25.7	35	4360	2	0.71	3.82	0.81	3.05	2	0.81	3.57	0.87	3.03	2	0.84	276.45	0.91	213.24	11.5	28.1	2.6	15.9	628	1631	1483	11.6	28.1	35	4360	2	0.49	3.03	2	0.86	278.9	1036	2.6	15.8	35	4360	2	0.67	2.3	2	0.86	254.25	586	4	29.5	-6.6	25.7	629	1630	2	0.76	3.61	2	0.81	3.54	2	0.76	160.07
"ANGUNUR"	"Cao et al."	74	100074	"Anguli Nur Lake"	114.366667	41.333333	"Asia"	2488	-2	29.5	-15.4	22.1	35	3486	2	0.65	3.49	0.76	2.89	2	0.76	3.44	0.83	2.92	2	0.86	238.14	0.92	177.06	13.4	24.5	1.9	6.3	-270	1057	1610	13.5	24.5	35	3486	1	0.25	2.37	2	0.88	219.01	656	1.9	6.3	40	1437	1	0.18	1.06	2	0.82	104.76	1965	-2	28.5	-15.4	16.4	35	1049	1	0.57	3.53	2	0.54	3.2	2	0.75	108.97
"BAAHNUUR"	"Cao et al."	75	100075	"Baahar Nuur Lake"	109.266667	39.316667	"Asia"	2951	-2	33	-15.4	23.3	15	2852	2	0.67	3.99	0.79	3.2	2	0.77	3.85	0.85	3.18	2	0.85	219.2	0.92	155.74	11.1	26.1	2.6	10.2	226	959	1884	11.1	26	35	2852	2	0.47	2.81	2	0.88	193.83	835	2.6	10.2	35	2250	1	0.3	1.7	2	0.89	151.73	1948	-2	27.6	-15.4	20	226	950	1	0.58	3.75	2	0.56	3.5	1	0.6	108.43
"BAYANBY"	"Cao et al."	76	100076	"Bayanchagan Lake BY"	115.21	41.65	"Asia"	2483	-2	29.5	-15.4	22.1	35	3486	2	0.65	3.47	0.76	2.87	2	0.76	3.44	0.83	2.9	2	0.85	244.01	0.92	179.41	14.4	23.5	-1.3	5.6	87	797	1451	14.5	23.5	35	3486	1	0.2	2.07	2	0.87	216.85	1023	-1.3	5.5	41	1437	2	0.26	1.54	2	0.77	110.15	1783	-2	27.6	-15.4	14.6	87	796	1	0.57	3.45	2	0.5	3.18	2	0.69	104.79
"CHARIMUCH"	"Cao et al."	77	100077	"Charisu/Muchang profile"	122.35	42.95	"Asia"	2269	2.8	29.4	-10	20	35	3486	2	0.54	3.06	0.69	2.5	2	0.69	3.25	0.8	2.67	2	0.84	242.57	0.9	195.94	19.3	23	3.9	7.7	369	838	776	19.3	23	83	3294	1	0.15	1.05	2	0.88	202.93	493	3.9	7.7	51	2547	1	0.21	1.01	2	0.85	214.6	987	2.8	27.6	-9.8	14.6	370	837	1	0.52	3.05	2	0.55	3.06	2	0.67	76.8
"CHIFEQIGU"	"Cao et al."	78	100078	"Chifeng-Qiguo Mt."	118.966667	42.283333	"Asia"	2499	-2	29.5	-15.4	22.1	35	3486	2	0.62	3.29	0.74	2.72	2	0.74	3.39	0.82	2.8	2	0.84	255.82	0.9	200.94	18.2	22.3	1	5.5	104	774	893	18.3	22.3	103	3486	1	0.1	1.06	2	0.87	237.23	793	1	5.5	58	2147	1	0.13	1.11	2	0.88	131.22	1642	-2	27.6	-15.4	14.6	107	773	1	0.55	3.34	2	0.52	3.14	2	0.68	100.41
"DAIHAI99A"	"Cao et al."	79	100079	"Daihai Lake 99a"	112.666667	40.583333	"Asia"	2634	-2	33	-15.4	22.4	15	3486	2	0.65	3.57	0.75	3.01	2	0.77	3.53	0.84	3.01	2	0.86	233.34	0.92	171.93	15.6	23.6	1.7	6.9	208	597	1374	15.7	23.6	35	3486	1	0.21	1.88	2	0.88	212.91	758	1.7	6.9	40	2209	1	0.27	1.2	2	0.8	129.74	1227	-2	27.6	-15.4	13.7	208	597	1	0.63	3.36	1	0.55	3.2	1	0.41	82.35
"DAIHAI99B"	"Cao et al."	80	100080	"Daihai Lake DH99B"	112.666667	40.583333	"Asia"	2634	-2	33	-15.4	22.4	15	3486	2	0.65	3.57	0.75	3.01	2	0.77	3.53	0.84	3.01	2	0.86	233.34	0.92	171.93	17.9	23	0.5	8.7	-66	762	931	18	22.9	35	3486	1	0.15	1.24	2	0.89	202.94	1177	0.5	8.7	35	3192	1	0.4	1.83	2	0.85	148.51	1889	-2	33	-15.4	14.8	15	760	1	0.57	3.58	1	0.47	3.39	2	0.68	108.23
"DALAINUR"	"Cao et al."	81	100081	"Dalai Nur Lake-Haiyan"	116.583333	43.283333	"Asia"	2325	-2	29.5	-15.4	20	35	3486	2	0.62	3.37	0.74	2.79	2	0.71	3.32	0.79	2.85	2	0.86	221.62	0.9	181.87	12.6	21.9	-0.7	5.4	157	583	1394	12.6	21.9	35	3486	1	0.19	2.13	2	0.85	203.99	961	-0.7	5.4	41	2147	1	0.14	1.51	2	0.81	130.96	1241	-2	27.6	-15.4	13.7	159	583	1	0.62	3.26	1	0.56	3.16	1	0.45	83.68
"DIAOJIAO"	"Cao et al."	82	100082	"Diaojiaohaizi DJ"	112.35	41.3	"Asia"	2651	-2	33	-15.4	22.2	15	3421	2	0.63	3.69	0.75	3.05	2	0.72	3.58	0.8	3.06	2	0.84	203.62	0.91	152.76	16	22.5	-1	6.6	-56	940	1187	16	22.5	35	3421	1	0.17	1.62	2	0.88	179.33	1143	-1	6.6	40	2209	2	0.29	1.67	1	0.66	158.01	2194	-2	33	-15.4	20	15	935	1	0.55	3.7	2	0.53	3.37	2	0.71	112.33
"GAOXI"	"Cao et al."	83	100083	"Gaoximage"	115.366833	42.954	"Asia"	2345	-2	29.5	-15.4	20	35	3486	2	0.63	3.4	0.75	2.79	2	0.72	3.32	0.8	2.81	2	0.86	209.44	0.92	163.38	16.3	24.2	-3.2	7.1	-74	829	1328	16.3	24.2	35	3486	1	0.2	1.84	2	0.89	191.07	1406	-3.2	7.1	40	2209	2	0.36	2.16	1	0.64	156.4	1894	-2	27.6	-15.4	14.6	35	825	1	0.56	3.44	2	0.53	3.11	2	0.71	106.23
"HAILAER"	"Cao et al."	84	100084	"Hailaer"	119	49.233333	"Asia"	2185	2.8	28.5	-14.7	16.1	35	2209	2	0.49	2.74	0.64	2.31	2	0.7	3.22	0.78	2.78	2	0.84	166.19	0.91	124.68	15.9	21.1	-0.5	7	265	465	1297	15.9	21.1	90	2209	1	0.31	1.17	2	0.86	153.28	1010	-0.5	7	51	2209	2	0.41	1.58	2	0.8	141.42	726	2.8	27.6	-14.7	13.3	265	462	2	0.54	2.44	2	0.75	2.77	1	0.18	52.73
"HAMAHA2"	"Cao et al."	85	100085	"Hamaertai Lake Ha2"	108.75	38.716667	"Asia"	2941	-2	33	-15.4	23.3	15	2852	2	0.67	3.98	0.79	3.21	2	0.77	3.85	0.85	3.19	2	0.85	219.22	0.92	156	19.3	24.2	5.3	11.5	373	1037	718	19.4	24.2	35	2852	1	0.17	1.33	2	0.93	176.56	548	5.3	11.5	30	2250	1	0.3	1.29	2	0.9	184.59	1239	2.5	28.5	-9.5	20	374	1031	2	0.65	3.46	2	0.63	3.48	2	0.61	98.89
"HANHAIH1"	"Cao et al."	86	100086	"Hanhai Lake H1"	112.833333	40.283333	"Asia"	2604	-2	33	-15.4	22.6	15	4360	2	0.66	3.57	0.76	3.01	2	0.78	3.55	0.84	3.03	2	0.85	244.7	0.91	188.83	11.4	21.1	-3	5.1	175	532	1290	11.5	21.1	40	4360	2	0.32	2.12	2	0.86	187.26	1171	-3	5	46	1437	2	0.32	1.82	2	0.74	113.41	1138	-2	27.6	-15.4	13.3	175	531	1	0.62	3.36	1	0.54	3.18	1	0.39	76.04
"DALINURHAO"	"Cao et al."	87	100087	"Dali Nur-Haoluku Lake"	116.757	42.956333	"Asia"	2333	-2	29.5	-15.4	20	35	3486	2	0.62	3.37	0.74	2.79	2	0.7	3.34	0.79	2.84	2	0.86	223.7	0.9	183.47	13.6	21.2	-1.8	3.3	116	531	1186	13.6	21.2	40	3486	1	0.18	1.74	2	0.85	204.47	761	-1.8	3.3	46	2147	1	0.18	1.33	2	0.75	135.59	1175	-2	27.6	-15.4	13.3	116	531	1	0.6	3.3	2	0.59	3	1	0.41	81.92
"HULUNHL6"	"Cao et al."	88	100088	"Hulun Lake HL06"	117.505933	49.126917	"Asia"	2225	2.8	28.5	-14.7	16.1	35	2209	2	0.5	2.95	0.66	2.45	2	0.7	3.21	0.78	2.8	2	0.83	156.15	0.9	116.93	17.1	22	-0.9	4.3	225	386	1106	17.1	21.9	77	2140	1	0.23	1.19	2	0.87	138.77	827	-0.9	4.3	58	1352	2	0.37	1.24	2	0.8	97.1	714	3.3	24.1	-14.7	9.1	226	386	2	0.47	2.65	2	0.78	2.72	1	0.11	40.95
"HULUNNUR"	"Cao et al."	89	100089	"Hulun Nur Lake"	117.4	49.28	"Asia"	2213	2.8	28.5	-14.7	16.1	35	2209	2	0.5	2.94	0.66	2.44	2	0.7	3.19	0.77	2.8	2	0.82	155.16	0.9	115.5	9.3	21.3	-4	8	45	1452	1721	9.4	21.2	85	2209	1	0.25	2.33	2	0.82	152.03	1576	-4	8	51	2209	2	0.53	2.19	2	0.78	142.58	2130	2.8	28.5	-14.7	16.1	46	1437	2	0.5	2.95	2	0.69	3.19	2	0.76	125.1
"DALINURJIAN"	"Cao et al."	90	100090	"Dali Nur-Jiangjunpaozi Lake"	117.47	42.374	"Asia"	2516	-2	29.5	-15.4	22.1	35	3486	2	0.63	3.34	0.75	2.74	2	0.74	3.39	0.83	2.82	2	0.85	250.73	0.91	195.27	18.8	21.9	0.5	5.4	91	600	684	18.9	21.8	35	3421	1	0.06	0.82	2	0.86	222.77	836	0.5	5.4	46	2147	1	0.14	1.22	2	0.88	128.84	1326	-2	27.6	-15.4	13.7	92	600	1	0.6	3.32	1	0.55	3.21	2	0.51	87.69
"JUYAN"	"Cao et al."	91	100091	"Juyan Lake"	101.85	41.89	"Asia"	2867	-2	33	-15.4	20	15	1729	2	0.6	3.98	0.73	3.28	2	0.64	3.65	0.74	3.12	2	0.79	127.96	0.85	108.99	16.5	24.2	1.2	6.8	6	276	1122	16.5	24.1	35	1694	1	0.29	1.8	2	0.85	103.56	808	1.2	6.8	40	929	1	0.2	1.45	2	0.72	100.89	766	3.8	33	-10.4	14.8	15	275	2	0.57	4.01	1	0.63	3.29	1	0.45	53.41
"DALINURLIU"	"Cao et al."	92	100092	"Dali Nur-Liuzhouwan Lake"	116.683	42.707333	"Asia"	2342	-2	29.5	-15.4	20	35	3486	2	0.62	3.37	0.74	2.79	2	0.71	3.36	0.79	2.85	2	0.86	224.57	0.9	184.78	15.5	22.8	-1.3	5.9	46	667	1297	15.6	22.8	35	3486	1	0.18	1.7	2	0.86	214.57	1068	-1.3	5.9	40	2147	2	0.26	1.6	2	0.8	135.34	1481	-2	27.6	-15.4	14.6	48	666	1	0.57	3.43	1	0.51	3.32	1	0.5	103.74
"QASQ"	"Cao et al."	93	100093	"Qasq"	111.133333	40.666667	"Asia"	2872	-2	33	-15.4	22.4	15	3192	2	0.64	3.78	0.76	3.08	2	0.75	3.63	0.83	3.05	2	0.86	189.92	0.91	150.59	8	24.6	-5	8.7	71	840	2191	8.1	24.5	35	3192	1	0.41	3.26	2	0.85	172.26	2086	-5	8.7	35	3192	1	0.45	2.86	2	0.76	150.43	2238	-2	28.8	-15.4	20	77	836	1	0.56	3.73	2	0.54	3.35	2	0.69	110.05
"HEXIGSANY"	"Cao et al."	94	100094	"Hexigten-Sanyixiang"	117.383333	43.616667	"Asia"	2367	-2	29.5	-15.4	20	35	3486	2	0.6	3.34	0.73	2.76	2	0.7	3.31	0.79	2.81	2	0.85	228.42	0.9	185.83	14.2	24.1	-1.7	6	194	417	1600	14.3	24.1	35	3486	1	0.23	2.1	2	0.86	220.22	1146	-1.7	5.9	46	2147	2	0.32	1.66	2	0.82	145.58	742	-2	27.1	-15.4	13	196	417	1	0.55	3.11	1	0.52	2.69	1	0.14	55.88
"HEXIGSHI"	"Cao et al."	96	100096	"Hexigten-Shidicun"	117.516667	43.25	"Asia"	2368	-2	29.5	-15.4	20	35	3486	2	0.6	3.34	0.73	2.77	2	0.7	3.32	0.79	2.82	2	0.85	230.04	0.9	188.69	15.4	24.2	0.5	5.8	62	820	1525	15.4	24.1	35	3486	1	0.21	1.97	2	0.86	223.3	856	0.5	5.8	53	2147	1	0.13	1.27	2	0.87	129.74	1756	-2	27.6	-15.4	14.6	64	820	1	0.54	3.39	1	0.46	3.3	2	0.69	104.22
"LIAOHEWANG"	"Cao et al."	97	100097	"Liaohe River-Wangxianggou"	119.916667	42.066667	"Asia"	2480	2.8	29.5	-11.3	22.1	35	3486	2	0.61	3.21	0.74	2.64	2	0.74	3.35	0.82	2.77	2	0.84	257.93	0.9	200.49	15.9	23.7	-0.2	6.8	203	752	1508	15.9	23.6	65	3486	1	0.25	1.78	2	0.85	241.66	1094	-0.2	6.8	51	2209	2	0.3	1.56	2	0.83	170.8	1472	2.8	27.6	-11.3	14.6	204	752	1	0.57	3.18	2	0.53	3.06	2	0.64	96.77
"ORDOSYANG"	"Cao et al."	98	100098	"Ordos-Yangjiawan"	110.165333	39.468	"Asia"	3003	-2	33	-15.4	22.7	15	2924	2	0.66	3.93	0.78	3.15	2	0.77	3.73	0.84	3.1	2	0.86	209.17	0.92	157.25	13	23.3	-3.5	7.7	0	683	1557	13.1	23.2	35	2924	1	0.24	2.32	2	0.87	178.68	1712	-3.5	7.7	36	2209	1	0.35	2.49	2	0.74	147.25	2074	-2	33	-15.4	14.8	15	681	1	0.58	4.04	1	0.5	3.59	1	0.55	105
